"","Date","Start_Time","Home","Away","BoxID","GameID","Home_Score","Away_Score","Attendance","Neutral_Site","Home_Wins","Home_Losses","Away_Wins","Away_Losses"
"1","11/07/2022","12:00 PM","Prairie View","Kansas Christian","2335286","5376327","94","79","175",FALSE,1,0,NA,NA
"2","11/07/2022","12:00 PM","Baylor","Mississippi Val.","2335287","5363960","117","53","10,284",FALSE,1,0,0,1
"3","11/07/2022","12:00 PM","Middle Tenn.","Brescia","2335240","5356912","79","52","7,047",FALSE,1,0,NA,NA
"4","11/07/2022","02:00 PM","Stanford","Pacific","2335256","5355627","88","78","3,380",FALSE,1,0,0,1
"5","11/07/2022","04:00 PM","James Madison","Valley Forge","2335291","5355639","123","38","3,148",FALSE,1,0,0,0
"6","11/07/2022","05:00 PM","Morehouse","Harvard","2335293","5355783","63","68","1,050",FALSE,0,0,1,0
"7","11/07/2022","05:00 PM","UNC Greensboro","JWU","2335295","5355670","93","60","1,102",FALSE,1,0,NA,NA
"8","11/07/2022","05:30 PM","Oakland","Defiance","2335297","5355683","92","27","1,065",FALSE,1,0,0,0
"9","11/07/2022","06:00 PM","Milwaukee","MSOE","2335294","5355693","102","46","0",FALSE,1,0,0,0
"10","11/07/2022","06:00 PM","UMass Lowell","Fisher","2335237","5355710","108","43","511",FALSE,1,0,NA,NA
"11","11/07/2022","06:00 PM","Charlotte","Coppin St.","2335241","5356144","82","59","2,638",FALSE,1,0,0,1
"12","11/07/2022","06:30 PM","Butler","New Orleans","2335300","5372049","89","53","9,122",FALSE,1,0,0,1
"13","11/07/2022","06:30 PM","Michigan","Purdue Fort Wayne","2335301","5356101","75","56","11,107",FALSE,1,0,0,1
"14","11/07/2022","06:30 PM","Villanova","La Salle","2335302","5355730","81","68","6,501",FALSE,1,0,0,1
"15","11/07/2022","06:30 PM","Kentucky","Howard","2335305","5355739","95","63","18,750",FALSE,1,0,0,1
"16","11/07/2022","06:30 PM","App State","Warren Wilson","2335376","5356350","142","74","1,944",FALSE,1,0,0,0
"17","11/07/2022","06:45 PM","St. John's","Merrimack","2335308","5356105","97","72","4,505",FALSE,1,0,0,1
"18","11/07/2022","07:00 PM","Arizona St.","Tarleton St.","2335279","5356104","62","59","6,304",FALSE,1,0,0,1
"19","11/07/2022","07:00 PM","Denver","Idaho","2335296","5356318","68","63","1,255",FALSE,1,0,0,1
"20","11/07/2022","07:00 PM","Iowa","Bethune-Cookman","2335299","5355747","89","58","9,545",FALSE,1,0,0,1
"21","11/07/2022","07:00 PM","Troy","Montevallo","2335259","5356065","87","67","2,879",FALSE,1,0,0,0
"22","11/07/2022","07:00 PM","Holy Cross","Siena","2335262","5363464","68","75","1,681",FALSE,0,1,1,0
"23","11/07/2022","07:00 PM","FIU","Houston Christian","2335276","5356298","77","66","1,104",FALSE,1,0,0,1
"24","11/07/2022","07:00 PM","Kennesaw St.","LaGrange","2335281","5355777","99","56","1,285",FALSE,1,0,0,0
"25","11/07/2022","07:00 PM","Northern Ky.","Kent St.","2335283","5357257","57","79","2,785",FALSE,0,1,1,0
"26","11/07/2022","07:00 PM","Wofford","Bob Jones","2335284","5372427","120","48","1,680",FALSE,1,0,0,0
"27","11/07/2022","07:00 PM","Bowling Green","Air Force","2335310","5356863","62","58","1,389",FALSE,1,0,0,1
"28","11/07/2022","07:00 PM","George Washington","Virginia St.","2335312","5356073","85","58","1,711",FALSE,1,0,0,0
